SNo,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
62,Tyrese Haliburton,IND,25,73,46,27,33.6,18.6,6.5,13.8,47.3,3.0,7.7,38.8,2.6,3.0,85.1,0.6,3.0,3.5,9.2,1.6,1.4,0.7,1.3,41.4,31.0,0.0,3.0
63,Shaedon Sharpe,POR,21,72,32,40,31.3,18.5,6.9,15.3,45.2,2.0,6.6,31.1,2.6,3.4,78.5,0.9,3.6,4.5,2.8,2.1,0.9,0.2,1.7,29.2,3.0,0.0,-1.9
64,Evan Mobley,CLE,23,71,58,13,30.5,18.5,7.1,12.8,55.7,1.2,3.2,37.0,3.1,4.3,72.5,2.3,7.0,9.3,3.2,2.0,0.9,1.6,2.0,39.8,37.0,0.0,7.7
65,Nikola Vučević,CHI,34,73,34,39,31.2,18.5,7.5,14.2,53.0,1.8,4.4,40.2,1.6,2.0,80.5,2.4,7.6,10.1,3.5,1.6,0.8,0.7,2.2,38.8,45.0,1.0,-1.3
66,Collin Sexton,UTA,26,63,14,49,27.9,18.4,6.6,13.8,48.0,1.7,4.3,40.6,3.4,4.0,86.5,1.0,1.8,2.7,4.2,2.5,0.7,0.1,2.3,27.9,2.0,0.0,-4.5
67,Michael Porter Jr.,DEN,26,77,47,30,33.7,18.2,6.9,13.6,50.4,2.5,6.4,39.5,1.9,2.5,76.8,1.8,5.2,7.0,2.1,1.4,0.6,0.5,2.0,31.9,15.0,0.0,3.4
68,Bam Adebayo,MIA,27,78,36,42,34.3,18.1,6.9,14.3,48.5,1.0,2.8,35.7,3.2,4.2,76.5,2.4,7.2,9.6,4.3,2.1,1.3,0.7,2.1,39.8,38.0,1.0,0.3
69,OG Anunoby,NYK,27,74,45,29,36.6,18.0,6.6,13.9,47.6,2.3,6.2,37.2,2.5,3.1,81.0,1.3,3.5,4.8,2.2,1.4,1.5,0.9,2.3,32.8,1.0,0.0,4.1
70,Andrew Wiggins,MIA,30,60,27,33,30.7,18.0,6.3,14.0,44.8,2.2,5.8,37.4,3.3,4.3,76.3,1.5,3.0,4.5,2.6,1.7,1.0,0.8,1.7,31.1,3.0,0.0,-1.7
71,Mikal Bridges,NYK,28,82,51,31,37.0,17.6,7.2,14.4,50.0,2.0,5.6,35.4,1.2,1.4,81.4,0.9,2.3,3.2,3.7,1.6,0.9,0.5,1.5,29.7,1.0,0.0,4.1
72,Jaden Ivey,DET,23,30,14,16,29.9,17.6,6.3,13.8,46.0,2.1,5.1,40.9,2.8,3.9,73.3,1.3,2.8,4.1,4.0,3.0,0.9,0.4,2.2,29.4,0.0,0.0,-2.1
73,Jimmy Butler III,GSW,35,55,36,19,31.7,17.5,5.5,10.9,50.4,0.6,1.9,30.8,6.0,7.1,84.2,2.3,3.1,5.4,5.4,1.3,1.4,0.3,0.9,35.9,6.0,3.0,4.5
74,Dejounte Murray,NOP,28,31,9,22,32.6,17.5,6.3,15.9,39.3,1.7,5.6,29.9,3.3,4.0,82.3,0.5,5.9,6.5,7.4,3.4,2.0,0.4,2.0,40.1,8.0,1.0,-6.7
75,Malik Monk,SAC,27,65,36,29,31.6,17.2,6.3,14.4,43.9,2.1,6.6,32.5,2.4,2.7,86.5,0.5,3.3,3.8,5.6,2.4,0.9,0.6,2.4,32.2,4.0,0.0,1.8
76,Immanuel Quickley,TOR,25,33,12,21,27.8,17.1,5.6,13.3,42.0,2.6,6.8,37.8,3.4,3.9,86.7,0.5,3.1,3.5,5.8,1.8,0.7,0.1,1.8,30.7,2.0,0.0,-1.2
77,Bradley Beal,PHX,31,53,22,31,32.1,17.0,6.5,13.1,49.7,1.9,5.0,38.6,2.1,2.6,80.3,0.6,2.7,3.3,3.7,1.9,1.1,0.5,2.6,29.5,1.0,0.0,-5.2
78,De'Andre Hunter,CLE,27,64,38,26,27.2,17.0,5.6,11.9,47.0,2.5,6.1,40.5,3.4,4.0,84.6,0.7,3.3,4.0,1.4,1.3,0.8,0.2,2.4,25.7,2.0,0.0,1.4
79,Deni Avdija,POR,24,72,33,39,30.0,16.9,5.6,11.7,47.6,1.7,4.8,36.5,4.0,5.2,78.0,1.5,5.7,7.3,3.9,2.7,1.0,0.5,2.4,33.2,17.0,2.0,-1.1
